"year","level","age_d","sex","n_d","lower_age","upper_age","deaths","deaths-adj","qx","k","q28_5","reg_year","p.qx","p.qx_p","p.qx_m","deaths_28"
2009,"Aegean",21,"total",7,0,28,49,49,0.0101886026837221,-0.178987400998486,0.0069454700582129,"2009 Aegean",0.00805481647004253,0.010623966331955,0.00622703448039612,1282
2009,"Central Anatolia",21,"total",7,0,28,23,23.1147704590818,0.00769577426719536,0.410921778351405,0.00832322451649134,"2009 Central Anatolia",0.00941787634973098,0.0122613049639928,0.00734949043016592,493.450099800399
2009,"Central East Anatolia",21,"total",7,0,28,44,44,0.00970781097290061,1.08048431262151,0.0177150033363287,"2009 Central East Anatolia",0.0166114617481793,0.0206442327424477,0.0134486402756482,887
2009,"East Black Sea",21,"total",7,0,28,13,13,0.00772167186345856,0.149480500950199,0.00679483894335574,"2009 East Black Sea",0.00789847990282239,0.0104345504820387,0.00609927634337332,271
2009,"East Marmara",21,"total",7,0,28,41,41,0.0090020353417963,-0.132576307115092,0.0062866320687263,"2009 East Marmara",0.00735928554225355,0.00977830660635038,0.00566036368484936,898
2009,"İstanbul",21,"total",7,0,28,99,99.1716961498439,0.00744147603441546,0.116029619873946,0.00634745598746034,"2009 İstanbul",0.00742480062083434,0.00985830065630187,0.00571354736881892,1532.65348595213
2009,"Mediterranean",21,"total",7,0,28,77,77,0.00889612998354116,0.239041071882369,0.00858867977525394,"2009 Mediterranean",0.0096677891067863,0.0125590700471136,0.00755681784073792,1494
2009,"Northeast Anatolia",21,"total",7,0,28,19,19,0.00636962058424434,1.72653869629009,0.015825411292413,"2009 Northeast Anatolia",0.0153734435981091,0.0192220284040218,0.0123837519049666,317
2009,"Southeast Anatolia",21,"total",7,0,28,128,128.025437201908,0.0101276595988886,0.849548926821897,0.015944578672879,"2009 Southeast Anatolia",0.0154539104908068,0.01931465538093,0.0124528172299496,2193.43581081081
2009,"WEST ANATOLIA",21,"total",7,0,28,51,51,0.00954422514981194,-0.110648251715372,0.00686692765747126,"2009 WEST ANATOLIA",0.00797349196989745,0.0105254803720517,0.0061605490862458,1032
2009,"WEST BLACK SEA",21,"total",7,0,28,26,26,0.00858600390900424,0.206745322653645,0.00802732156795346,"2009 WEST BLACK SEA",0.0091347054909542,0.0119230672642454,0.00711511467392443,530
2009,"WEST MARMARA",21,"total",7,0,28,5,5,0.00968993393729711,-0.267735229886819,0.00598786326190859,"2009 WEST MARMARA",0.00703343793758467,0.00937931887353351,0.00539647723346713,337
2010,"Aegean",21,"total",7,0,28,61,61,0.0084347959880207,-0.137849004623273,0.0058142326250308,"2010 Aegean",0.00684090804419164,0.00914265024301237,0.00524106502400686,1041
2010,"Central Anatolia",21,"total",7,0,28,22,22,0.00705358882315259,0.446372352606303,0.00775768561873421,"2010 Central Anatolia",0.0088722872394618,0.0116087717577767,0.00689845019760141,426
2010,"Central East Anatolia",21,"total",7,0,28,43,43,0.00775660946674679,1.38782154708595,0.0163389135826536,"2010 Central East Anatolia",0.0157177976260301,0.0196182296989979,0.01267946340595,690
2010,"East Black Sea",21,"total",7,0,28,18,18,0.00669501418903097,0.464068184087069,0.00742533683738643,"2010 East Black Sea",0.00854283139671723,0.0112129635710726,0.00662719636695704,217
2010,"East Marmara",21,"total",7,0,28,37,37,0.00686689389852235,0.0915546101542751,0.00570959936459005,"2010 East Marmara",0.00672373161208386,0.00899825742526997,0.00514666947145812,689
2010,"İstanbul",21,"total",7,0,28,67,67,0.00637141475779012,0.214257100911011,0.00583188864674758,"2010 İstanbul",0.00686059440239754,0.0091668825571208,0.00525693832461407,1291
2010,"Mediterranean",21,"total",7,0,28,75,75,0.00790367817735549,0.344533827215607,0.00815188343088091,"2010 Mediterranean",0.00925450996379534,0.0120662822563972,0.00721420307232955,1267
2010,"Northeast Anatolia",21,"total",7,0,28,18,18,0.00761802079218459,1.19203153904818,0.0141190123665347,"2010 Northeast Anatolia",0.0141819981507073,0.0178471134118265,0.0113637766924056,366
2010,"Southeast Anatolia",21,"total",7,0,28,128,128,0.00907794793587798,1.00920872749404,0.0155083016302319,"2010 Southeast Anatolia",0.0151576485354408,0.0189734846788647,0.0121986411256419,1957
2010,"WEST ANATOLIA",21,"total",7,0,28,26,26,0.00838113915329875,-0.0416627479054432,0.00630929353001165,"2010 WEST ANATOLIA",0.00738372678765078,0.00980815805371624,0.00568019967727117,883
2010,"WEST BLACK SEA",21,"total",7,0,28,11,11,0.00757534808801178,0.247290695959452,0.00720227686776762,"2010 WEST BLACK SEA",0.00831784466935048,0.0109418372474802,0.00644246205838665,448
2010,"WEST MARMARA",21,"total",7,0,28,10,10,0.00754091914085566,-0.166825178833213,0.00501254139945594,"2010 WEST MARMARA",0.00591992949763281,0.00799986765916883,0.00450325240983878,258
2011,"Aegean",21,"total",7,0,28,28,28,0.00800234090238678,-0.0790444548860151,0.00579544203687632,"2011 Aegean",0.00681992941387391,0.00911681890051319,0.00522415424804428,994
2011,"Central Anatolia",21,"total",7,0,28,23,23,0.00656614559550003,0.536515112203362,0.00766243567504437,"2011 Central Anatolia",0.0087785559681262,0.0114963049259798,0.00682118997856085,392
2011,"Central East Anatolia",21,"total",7,0,28,39,39,0.00667406943352777,1.60650881607512,0.015580410244712,"2011 Central East Anatolia",0.0152069343235409,0.0190302678862926,0.0122409049249706,582
2011,"East Black Sea",21,"total",7,0,28,10,10,0.00704785211274281,0.15348851529838,0.00617535902974239,"2011 East Black Sea",0.00723871762903523,0.00963089778481067,0.00556259891004053,224
2011,"East Marmara",21,"total",7,0,28,27,27,0.00665474082272084,0.0874142586387879,0.00550724970393496,"2011 East Marmara",0.00649460587776552,0.00871510721693431,0.00496251738901771,665
2011,"İstanbul",21,"total",7,0,28,64,64,0.00500595478512489,0.37866392859141,0.00518174430840091,"2011 İstanbul",0.00611885453011523,0.00824830996991797,0.00466179201224948,1066
2011,"Mediterranean",21,"total",7,0,28,70,70,0.00784192354944295,0.295819833550083,0.00777829162828555,"2011 Mediterranean",0.00889249304177409,0.0116330019817346,0.00691511428170079,1275
2011,"Northeast Anatolia",21,"total",7,0,28,30,30,0.00918304848637724,0.867202447328043,0.0142716193389982,"2011 Northeast Anatolia",0.0142916928516914,0.0179739822832018,0.0114574673097929,455
2011,"Southeast Anatolia",21,"total",7,0,28,121,121,0.00915800611347355,0.813309802599145,0.0136977261973577,"2011 Southeast Anatolia",0.013875751996082,0.0174925953286002,0.0111024577452629,1954
2011,"WEST ANATOLIA",21,"total",7,0,28,35,35,0.00795889503267169,-0.051337754559758,0.00590767994989241,"2011 WEST ANATOLIA",0.00694482107674136,0.00927047400095998,0.00532489694130783,869
2011,"WEST BLACK SEA",21,"total",7,0,28,29,29,0.00673955362073527,0.288869467594913,0.00655569767355503,"2011 WEST BLACK SEA",0.00764705655974942,0.0101291363644775,0.00589427579467726,388
