"year","level","sex","obs_IMR","pred_IMR","pred_IMR_low","pred_IMR_up","deaths_IMR","Coverage_IMR","Coverage_IMR_low","Coverage_IMR_up","Missing_IMR","Missing_IMR_low","Missing_IMR_up","obs_q28","pred_q28","pred_q28_low","pred_q28_up","deaths_q28","Coverage_q28","Coverage_q28_low","Coverage_q28_up","Missing_q28","Missing_q28_low","Missing_q28_up"
1972,"Aegean","female",0.0767770315163776,0.074527541795881,0.0758390033491922,0.0732387589610379,1743,103.018333445986,104.831147613004,101.236867740556,-51.0681450609247,-21.295211121251,-80.3262244209268,NA,0.0424883008587712,0.0456640498811811,0.039533412269888,NA,NA,NA,NA,NA,NA,NA
1972,"Central Anatolia","female",0.0501810594442496,0.0531841454664267,0.0541200271598809,0.0522644476995168,654,94.3534186817519,96.0137562971196,92.7217927958631,39.1386367736185,51.3358010881547,27.1523944299844,NA,0.0325898270834868,0.0350257237752586,0.0303233371035093,NA,NA,NA,NA,NA,NA,NA
1972,"Central East Anatolia","female",0.0273785630427328,0.0320668615773906,0.0326311423128168,0.0315123387825633,398,85.3796152662367,86.8820408146989,83.9031707203799,68.1534240449882,76.3563283518756,60.0923701468412,NA,0.0213942138756986,0.0229933047413656,0.0199063332786474,NA,NA,NA,NA,NA,NA,NA
1972,"East Black Sea","female",0.0166983884115881,0.0176344621762024,0.0179447759018413,0.0173295146144454,169,94.6917929491632,96.3580849383328,93.0543156567068,9.47375652790771,12.6143601802088,6.38746240977767,NA,0.012571691361194,0.0135113508849544,0.0116973813371326,NA,NA,NA,NA,NA,NA,NA
1972,"East Marmara","female",0.059829011498735,0.0579520215092518,0.0589718035430424,0.0569498742658855,808,103.238868879119,105.055563809338,101.453589519383,-25.349038426525,-11.5767252516654,-38.8831910450594,NA,0.0349069042728066,0.037515988770871,0.0324792709943705,NA,NA,NA,NA,NA,NA,NA
1972,"Istanbul","female",0.104140513626761,0.0965635591377632,0.0982627886066069,0.094893713943768,3925,107.84659819569,109.744375363443,105.981638729678,-285.571343309315,-221.528297688139,-348.506911400723,NA,0.0516322452170962,0.0554914499619046,0.0480414324727235,NA,NA,NA,NA,NA,NA,NA
1972,"Mediterranean","female",0.0412055942194649,0.0428296662622435,0.0435833401295221,0.0420890254552245,1047,96.2080674809968,97.9010413612464,94.5443696995435,41.2663246580705,60.4165530187629,22.4472555574357,NA,0.0273089895588462,0.0293501749002602,0.0254097603595052,NA,NA,NA,NA,NA,NA,NA
1972,"Northeast Anatolia","female",0.0942332578107857,0.0905953189325022,0.0921895252463951,0.0890286807589642,511,104.015592550642,105.845955491481,102.216881537168,-19.7275018394843,-11.0825770504566,-28.2229324897265,NA,0.0492472226987868,0.0529281611260948,0.0458222785742727,NA,NA,NA,NA,NA,NA,NA
1972,"Southeast Anatolia","female",0.0797111732837501,0.0837735031650197,0.0852476659502087,0.0823248326427923,1277,95.1508177075185,96.8251871578253,93.5054026350793,65.0799009056718,88.6964881309682,41.871708369111,NA,0.0464408899829389,0.0499120716490026,0.0432111148896891,NA,NA,NA,NA,NA,NA,NA
1972,"West Anatolia","female",0.0734360983647294,0.0776586802472765,0.0790252404607355,0.07631575155719,2398,94.5626401722231,96.2266594592826,92.9273962807071,137.885203324081,182.509188868617,94.0328872215414,NA,0.043847088356796,0.0471243987027065,0.0407977016215646,NA,NA,NA,NA,NA,NA,NA
1972,"West Black Sea","female",0.0556346232353839,0.0533141083280672,0.054252276978696,0.0523921631516603,939,104.352534404285,106.188826512732,102.547996754552,-39.165601764775,-23.3312110255188,-54.7261730475793,NA,0.0326538861190622,0.0350945708446103,0.030382941093592,NA,NA,NA,NA,NA,NA,NA
1972,"West Marmara","female",0.0328995180252445,0.0315492805084449,0.0321044533670209,0.0310037080906358,569,104.279772771484,106.114784493089,102.476493367242,-23.3524742359284,-13.7507117940792,-32.7881962272095,NA,0.021097087646095,0.0226739700846394,0.0196298709703487,NA,NA,NA,NA,NA,NA,NA
1972,"Aegean","male",0.0962520910653619,0.0905585034007057,0.0921520618714878,0.0889925018673183,2226,106.287192754791,108.157529056624,104.449199627885,-131.674294046434,-94.820433348988,-167.890851782859,NA,0.0492323125280206,0.0529121365083095,0.0458084053452661,NA,NA,NA,NA,NA,NA,NA
