"year","level","age_d","sex","n_d","lower_age","upper_age","deaths","deaths-adj","qx","k","q28_5","reg_year","p.qx","p.qx_p","p.qx_m","deaths_28"
2009,"adana",21,"total",7,0,28,22,22,0.0105177357098864,-0.154255163486404,0.0073935211284985,"2009 adana",0.00851093422355595,0.011174566903239,0.00660098049207431,385
2009,"adiyaman",21,"total",7,0,28,10,10,0.0117274062049993,0.147167453387577,0.0111615411897199,"2009 adiyaman",0.0119138435877565,0.0152086375952482,0.00943788280974804,150
2009,"afyonkarahisar",21,"total",7,0,28,7,7,0.0102523427383162,0.0886737398547954,0.0089632196823918,"2009 afyonkarahisar",0.0100140511128981,0.0129705394114779,0.00784478799607649,114
2009,"agri",21,"total",7,0,28,6,6,0.00624966752004752,2.00053336835016,0.0181330646731645,"2009 agri",0.0168750720039894,0.0209463073180438,0.0136759862901401,102
2009,"aksaray",21,"total",7,0,28,6,6,0.0123763824714451,-0.0414540035758976,0.0101045412632685,"2009 aksaray",0.0110268563404,0.0141674717697773,0.008691493985384,89
2009,"amasya",21,"total",7,0,28,0,0,0.0073208879729546,0.399984300364771,0.0078066878214994,"2009 amasya",0.00892029624610803,0.0116663345062894,0.00693804924494449,29
2009,"ankara",21,"total",7,0,28,20,20,0.0071226774604857,-0.0618826212174129,0.0051987683795903,"2009 ankara",0.00613873076784325,0.00827308228107711,0.00467765880681018,480
2009,"antalya",21,"total",7,0,28,11,11,0.00790160728577348,0.146847121067054,0.00695499613400562,"2009 antalya",0.00806465162509569,0.0106358702654014,0.00623507898109697,250
2009,"ardahan",21,"total",7,0,28,1,1,0.0110263083918894,0.167901675273109,0.0105039512766808,"2009 ardahan",0.0113674244898873,0.0145679594989713,0.00897757266075805,16
2009,"artvin",21,"total",7,0,28,1,1,0.00594729228680978,0.61482305544302,0.00728406555214242,"2009 artvin",0.00840070896989949,0.0110417758131058,0.00651045219723417,13
2009,"aydin",21,"total",7,0,28,6,6,0.00911416690307701,-0.07254404277317,0.00674523102802499,"2009 aydin",0.0078466526128085,0.0103716749223396,0.00605697129269292,112
2009,"balikesir",21,"total",7,0,28,1,1,0.0106072763070009,-0.172704710618966,0.0073364387649134,"2009 balikesir",0.0084535454975547,0.0111054499121957,0.00655383445435572,130
